1`[1,~1,~1,~0.98556,~0.80868,~0.6689,~0.4561,~1,~0.77778,~1,~1,~1,1,0.49254,0.5,~1]++
1`[1,1,1,~0.96933,~0.5651,~0.87472,~0.70664,0,~0.77778,~1,~0.71429,~1,~1,~0.9801,~0.98,~1]++
1`[~1,~1,1,~0.97036,~0.67272,~0.50336,~0.43897,~1,~0.77778,~1,~0.71429,~1,~1,~0.96517,~0.965,~1]++
1`[1,~1,1,~0.98793,~0.75775,~0.8956,~0.82013,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,~1,~0.99673,~0.94376,~0.93289,~0.86081,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.975,~0.92693,~0.83147,~0.81156,~1,1,0.25,0.14286,~1,~1,~0.93433,~0.97,~1]++
1`[~1,~1,~1,~0.99804,~0.99291,~0.84638,~0.91221,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.97167,~0.74446,~0.61372,~0.53961,~1,~0.77778,~1,~0.71429,~1,~1,~0.97512,~0.975,~1]++
1`[~1,~1,~1,~0.98558,~0.86847,~0.74497,~0.74304,~1,~0.77778,~1,~0.71429,~1,~1,~0.9801,~0.98,~1]++
1`[1,~1,1,~0.95925,~0.78698,~0.77629,~0.71092,~1,0.11111,~0.25,~1,0.33333,~1,~0.64527,~0.75,~1]++
1`[~1,~1,1,~0.98337,~0.83791,~0.89262,~0.8394,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,~1,~0.99809,~0.94996,~0.97166,~0.89936,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,~1,~0.94883,~0.90567,~0.71812,~0.68737,0,~0.77778,~0.75,~1,~1,~1,~0.99851,~0.9985,~1]++
1`[~1,2.2204e~16,1,~0.98581,~0.8729,~0.91946,~0.88437,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,1,~0.97639,~0.86005,~0.73304,~0.74732,~1,~0.77778,~0.75,~1,~1,~1,~0.99552,~0.9955,~1]++
1`[~1,2.2204e~16,~1,~0.98505,~0.70062,~0.68978,~0.53319,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.999,~0.9783,~0.98807,~0.96146,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.98742,~0.90655,~0.89709,~0.89507,~1,~0.77778,~1,~0.71429,~1,~1,~0.97015,~0.97,~1]++
1`[~1,~1,1,~0.95729,~0.80691,~0.86875,~0.75589,~1,~0.77778,~1,~0.71429,~1,~1,~0.99005,~0.99,~1]++
1`[1,~1,1,~0.97344,~0.80337,~0.84638,~0.79015,~1,~0.55556,~0.75,~0.71429,~1,~1,~0.98358,~0.985,~1]++
1`[~1,~1,~1,~0.96728,~0.83304,~0.9657,~0.91649,~1,~0.77778,~1,~0.71429,~1,~1,~0.9801,~0.98,~1]++
1`[1,2.2204e~16,1,~0.98978,~0.83127,~0.94482,~0.92505,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.98108,~0.84145,~0.88963,~0.83298,~1,~0.77778,~0.75,~1,~1,~1,~0.99801,~0.998,~1]++
1`[~1,2.2204e~16,1,~0.96497,~0.73915,~0.739,~0.72377,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.98029,~0.77281,~0.8777,~0.79015,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,1,~0.99008,~0.80779,~0.87621,~0.76017,0,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.98151,~0.82728,~0.90306,~0.85653,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.9896,~0.83791,~0.87323,~0.75161,~1,~0.77778,~0.75,~1,~1,~1,~0.99602,~0.996,~1]++
1`[~1,~1,~1,~0.99437,~0.94198,~0.84787,~0.83726,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,~0.9842,~0.87954,~0.88367,~0.8651,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,~1,~0.99247,~0.84012,~0.84489,~0.76017,~1,~0.77778,~1,~0.71429,~1,~1,~0.9602,~0.96,~1]++
1`[1,2.2204e~16,1,~0.98176,~0.77104,~0.88814,~0.79443,~1,~0.77778,~0.75,~1,~1,~1,~0.99751,~0.9975,~1]++
1`[~1,~1,~1,~0.99662,~0.9225,~0.94631,~0.89936,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,1,~0.99071,~0.84101,~0.91051,~0.85653,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.97747,~0.87068,~0.89411,~0.86081,~1,~0.33333,~0.25,~1,~1,~1,~0.99303,~0.997,~1]++
1`[~1,~1,~1,~0.99857,~0.99247,~0.8956,~0.90578,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,~0.97649,~0.44287,~0.80164,~0.5546,~1,~0.77778,~0.75,~1,~1,~1,~0.99851,~0.9985,~1]++
1`[~1,2.2204e~16,~1,~0.96275,~0.96723,~0.72856,~0.77088,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,1,~0.97521,~0.72143,~0.84489,~0.68308,~1,~0.77778,~0.75,~1,~1,~1,~0.99751,~0.9975,~1]++
1`[~1,2.2204e~16,1,~0.82532,~0.68335,~0.85384,~0.79443,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99764,~0.96856,~0.96868,~0.94433,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99034,~0.97564,~0.95078,~0.90578,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,~0.97779,~0.58105,~0.87621,~0.78801,0,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.98531,~0.81045,~0.85831,~0.73233,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99601,~0.92205,~0.90007,~0.82869,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99525,~0.95748,~0.8956,~0.88437,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99546,~0.97741,~0.91946,~0.93148,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.9284,0.071745,~0.62118,~0.49465,~1,~0.77778,~0.75,~1,~1,~1,~0.99701,~0.997,~1]++
1`[1,2.2204e~16,1,~0.94783,~0.55713,~0.62864,~0.53747,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99767,~0.91674,~0.96868,~0.84582,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.80927,~0.70195,~0.85086,~0.7409,~1,~0.77778,~0.75,~1,~1,~1,~0.99751,~0.9975,~1]++
1`[~1,~1,~1,~0.99795,~0.99026,~0.85384,~0.88009,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99024,~0.98937,~0.87025,~0.86938,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99068,~0.74402,~0.70022,~0.13062,0,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,~0.96878,~0.82462,~0.7733,~0.83298,~1,~1,~1,~1,~1,~1,~1,~1,1]++
1`[1,2.2204e~16,1,~0.95092,~0.063773,~0.72558,~0.53533,0,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,1,1,~0.93496,~0.53632,~0.72707,~0.68522,0,~0.77778,~0.75,~1,~1,~1,~0.999,~0.999,~1]++
1`[~1,~1,~1,~0.83127,~0.79052,~0.83445,~0.803,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.95992,~0.69309,~0.75839,~0.67666,~1,~0.77778,~1,~0.71429,~1,~1,~0.99005,~0.99,~1]++
1`[1,~1,1,~0.97247,~0.82064,~0.77629,~0.82227,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.95911,~0.79672,~0.8434,~0.74518,~1,0.11111,~0.5,~0.14286,~1,~1,~0.97612,~0.99,~1]++
1`[~1,~1,1,0.58148,0.60895,~0.77479,~0.69593,~1,~0.77778,~0.75,~1,~1,~1,~0.99602,~0.996,~1]++
1`[1,~1,~1,~0.98746,~0.67493,~0.76286,~0.5546,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,~1,~0.98646,~0.88795,~0.66294,~0.67452,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,~1,~0.99046,~0.88574,~0.85682,~0.78587,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.95619,~0.91231,~0.96122,~0.91863,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.95973,~0.55624,~0.63311,~0.66381,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.98202,~0.77325,~0.63162,~0.66809,~1,~0.77778,~1,~0.71429,~1,~1,~0.9602,~0.96,~1]++
1`[~1,2.2204e~16,1,~0.98105,~0.75066,~0.7733,~0.7045,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99589,~0.94508,~0.88367,~0.85439,~1,~0.77778,~0.75,~1,~1,~1,~0.99851,~0.9985,~1]++
1`[1,2.2204e~16,1,~0.99307,~0.77458,~0.93289,~0.78587,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,~1,~0.98519,~0.85917,~0.69873,~0.54176,0,~0.55556,~0.75,~0.71429,~1,~1,~0.98856,~0.99,1]++
1`[~1,~1,~1,~0.99793,~0.99247,~0.84489,~0.90578,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.98108,~0.85385,~0.90007,~0.88223,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.96261,~0.94508,~0.92841,~0.86938,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.96543,~0.48184,~0.68531,~0.606,~1,~0.77778,~0.75,~1,~1,~1,~0.999,~0.999,~1]++
1`[~1,~1,1,~0.97602,~0.76616,~0.83743,~0.77302,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.64121,~0.41408,~0.86726,~0.82013,~1,~0.77778,~1,~0.71429,~1,~1,~0.9801,~0.98,~1]++
1`[~1,~1,1,~0.97422,~0.73959,~0.56749,~0.55675,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,1,~0.97161,~0.80647,~0.78971,~0.79657,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.95,~0.6457,~0.74198,~0.72591,~1,~0.77778,~1,~0.71429,~1,~1,~0.9801,~0.98,~1]++
1`[1,2.2204e~16,1,~0.97858,~0.73605,~0.92394,~0.83298,~1,~0.77778,~0.75,~1,~1,~1,~0.99851,~0.9985,~1]++
1`[~1,~1,~1,~0.97646,~0.96546,~0.80015,~0.6531,~1,~0.77778,~0.75,~1,~1,~1,~0.99751,~0.9975,~1]++
1`[~1,2.2204e~16,1,~0.99422,~0.89194,~0.91946,~0.84797,0,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.98272,~0.85562,~0.91499,~0.89293,~1,~0.77778,~0.75,~1,~1,~1,~0.99801,~0.998,~1]++
1`[~1,~1,1,~0.97249,~0.84987,~0.83296,~0.71306,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.98829,~0.87112,~0.85981,~0.76231,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,0.19197,0.3543,~0.77479,~0.71306,~1,~0.33333,~0.75,~0.42857,~1,~1,~0.96766,~0.98,~1]++
1`[1,2.2204e~16,1,~0.90125,~0.45394,~0.87174,~0.80514,~1,~0.77778,~1,~0.71429,~1,~1,~0.99502,~0.995,~1]++
1`[1,2.2204e~16,1,~0.69395,~0.27901,~0.90007,~0.89722,~1,~0.33333,~0.75,~0.71429,~0.33333,~1,~0.84428,~0.85,~1]++
1`[~1,~1,1,~0.9934,~0.90523,~0.93289,~0.86296,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,~0.95972,~0.79318,~0.70619,~0.80086,~1,~0.77778,~1,~1,~0.33333,~1,~0.9005,~0.9,~1]++
1`[1,2.2204e~16,~1,~0.9977,~0.94641,~0.96122,~0.93576,0,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,~0.94232,~0.34942,~0.67189,~0.66595,0,~0.77778,~1,~1,~0.33333,~1,~0.95025,~0.95,~1]++
1`[1,~1,1,~0.98971,~0.89947,~0.87323,~0.84797,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99609,~0.99247,~0.89709,~0.90578,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,~0.97503,~0.61426,~0.71216,~0.60171,0,~0.77778,~0.75,~1,~1,~1,~0.99851,~0.9985,~1]++
1`[~1,~1,~1,~0.96909,~0.91541,~0.96271,~0.92077,~1,~0.77778,~1,~0.71429,~1,~1,~0.97512,~0.975,~1]++
1`[1,~1,~1,~0.98464,~0.65678,~0.70917,~0.53105,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.95523,~0.9039,~0.89709,~0.8758,~1,~0.77778,~1,~0.71429,~1,~1,~0.98507,~0.985,~1]++
1`[~1,~1,~1,~0.97787,~0.92516,~0.89113,~0.70878,~1,~0.77778,~1,~0.71429,~1,~1,~0.98507,~0.985,~1]++
1`[~1,~1,1,~0.9786,~0.89548,~0.86577,~0.80514,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.39693,~0.29539,~0.8434,~0.83084,~1,~0.55556,~1,~0.42857,~1,~1,~0.97015,~0.985,~1]++
1`[~1,2.2204e~16,1,~0.90644,~0.8915,~0.89411,~0.85011,~1,~0.77778,~0.75,~1,~1,~1,~0.99801,~0.998,~1]++
1`[1,2.2204e~16,1,~0.98316,~0.83481,~0.89262,~0.82655,~1,~0.77778,~1,~0.71429,~1,~1,~0.99005,~0.99,~1]++
1`[1,~1,1,~0.98758,~0.6674,~0.78225,~0.66381,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,1,~0.99357,~0.92826,~0.96122,~0.93576,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99098,~0.91895,~0.76286,~0.76445,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.96897,~0.66652,~0.52424,~0.36188,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99918,~0.99203,~0.98061,~0.9015,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.28537,~0.21391,~0.90455,~0.86296,~1,~0.77778,~1,~0.71429,~1,~1,~0.98507,~0.985,~1]++
1`[1,~1,1,~0.98339,~0.84677,~0.77778,~0.75589,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.95701,~0.46767,~0.8613,~0.72163,~1,0.11111,~1,~0.42857,1,~1,~0.25871,~0.6,~1]++
1`[1,~1,1,~0.93023,~0.11293,~0.65548,~0.61028,~1,~0.55556,~1,~0.42857,~1,~1,~0.9801,~0.985,~1]++
1`[1,2.2204e~16,1,~0.95445,~0.68866,~0.74795,~0.74518,~1,~0.55556,~1,~0.42857,~1,~1,~0.9801,~0.99,~1]++
1`[~1,~1,1,~0.98681,~0.76661,~0.93139,~0.88223,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,1,~0.97776,~0.80425,~0.83594,~0.79443,~1,~0.77778,~0.75,~1,~1,~1,~0.99851,~0.9985,~1]++
1`[~1,~1,~1,~0.98552,~0.82994,~0.7047,~0.75375,~1,~0.77778,~0.75,~1,~1,~1,~0.99801,~0.998,~1]++
1`[1,~1,1,~0.91664,~0.045616,~0.57345,~0.56745,~1,~0.55556,~0.75,~0.71429,~1,~1,~0.95274,~0.955,~1]++
1`[1,~1,1,~0.97331,~0.75155,~0.82998,~0.7666,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.88801,~0.84234,~0.8613,~0.85439,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,~0.90575,~0.60142,~0.84489,~0.77516,~1,~0.33333,~0.5,~0.71429,~1,~1,~0.98209,~0.985,1]++
1`[1,~1,~1,~0.99288,~0.93313,~0.87174,~0.92291,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,1,~0.97238,~0.73118,~0.81506,~0.80728,0,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,1,~0.97684,~0.69486,~0.83743,~0.68308,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,1,~1,~0.98551,~0.90877,~0.97763,~0.9379,~1,~0.77778,~1,~0.71429,~1,~1,~0.98507,~0.985,~1]++
1`[1,~1,1,~0.9867,~0.8326,~0.91201,~0.8137,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.76703,~0.4473,~0.88069,~0.77516,~1,~0.55556,~0.5,~1,~1,~1,~0.99701,~0.9985,~1]++
1`[1,2.2204e~16,1,~0.94276,~0.60452,~0.62864,~0.62313,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.96321,~0.73782,~0.69873,~0.73662,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,2.2204e~16,~1,~0.99003,~0.95527,~0.85086,~0.92077,~1,~0.77778,~1,~0.71429,~1,~1,~0.98507,~0.985,~1]++
1`[~1,1,1,~0.98296,~0.70948,~0.92841,~0.79443,0,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,~1,~0.99425,~0.94198,~0.90753,~0.89507,~1,~0.77778,~1,~0.71429,~1,~1,~0.9801,~0.98,~1]++
1`[~1,1,1,~0.97032,~0.68246,~0.86279,~0.7666,1,~0.77778,~0.75,~1,~1,~1,~0.99751,~0.9975,~1]++
1`[1,~1,1,~0.57049,~0.13906,~0.84937,~0.7773,~1,~0.33333,~0.5,~0.71429,~1,~1,~0.97114,~0.975,1]++
1`[~1,~1,~1,~0.99505,~0.98406,~0.96421,~0.99143,~1,~0.77778,~0.75,~1,~1,~1,~0.9995,~0.9995,~1]++
1`[~1,2.2204e~16,1,~0.98408,~0.85651,~0.90455,~0.89936,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.85014,~0.69221,~0.90902,~0.86296,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[1,~1,1,~0.71767,~0.34367,~0.92543,~0.92505,~1,~0.77778,~1,~1,~0.33333,~1,~0.85075,~0.85,~1]++
1`[1,~1,1,~0.95473,~0.70018,~0.68829,~0.83726,~1,~0.33333,~0.25,~1,~1,~1,~0.99353,~0.996,1]++
1`[1,2.2204e~16,1,~0.4185,~0.018601,~0.81208,~0.76231,~1,~0.55556,~0.75,~0.71429,~1,~1,~0.98408,~0.985,1]++
1`[1,~1,1,~0.98878,~0.89947,~0.8613,~0.84797,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,1,~0.9035,~0.87157,~0.80462,~0.66167,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,~1,~1,~0.99644,~0.91851,~0.94929,~0.85011,~1,~1,~1,~1,~1,~1,~1,~1,~1]++
1`[~1,2.2204e~16,1,~0.8616,~0.87954,~0.84937,~0.88437,~1,~0.11111,~0.25,~0.71429,~1,~1,~0.98507,~0.99,~1]++
